City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,barakani,-12.1356,44.4317,76.95,79,50,10.02,KM,1724786589
141,fisterra,42.9049,-9.2629,66.13,80,0,11.07,ES,1724786590
142,daugavpils,55.8833,26.5333,59.22,67,2,5.95,LV,1724786591
143,motilla del palancar,39.5709,-1.9068,83.43,37,66,7.05,ES,1724786593
144,fortaleza,-3.7227,-38.5247,82.53,69,20,13.8,BR,1724786465
145,vilyuysk,63.7553,121.6247,43.48,59,100,5.14,RU,1724786597
146,tymovskoye,50.8456,142.655,54.32,97,0,0.69,RU,1724786598
147,port pirie,-33.1833,138.0167,54.48,90,1,5.7,AU,1724786599
148,pocinhos,-7.0767,-36.0611,70.09,53,87,18.81,BR,1724786601
149,trancas,-26.2314,-65.2803,74.32,20,0,2.21,AR,1724786602
150,collaroy,-33.7382,151.2997,67.15,44,100,4.0,AU,1724786603
151,dabra,25.9,78.3333,79.2,85,100,6.51,IN,1724786604
152,chibougamau,49.9168,-74.3659,61.66,96,100,8.46,CA,1724786606
153,kayangel,8.0823,134.7173,81.07,79,100,5.26,PW,1724786607
154,touros,-5.1989,-35.4608,79.86,66,66,17.16,BR,1724786608
155,lebu,-37.6167,-73.65,49.96,67,100,14.76,CL,1724786609
156,badger,64.8,-147.5333,60.98,58,75,10.36,US,1724786610
157,vila franca do campo,37.7167,-25.4333,77.41,64,49,8.39,PT,1724786611
158,pangoa,-12.1167,-73.0,87.4,39,8,5.73,PE,1724786592
159,kone,-21.0595,164.8658,63.37,83,0,4.76,NC,1724786615
160,miranda de ebro,42.6865,-2.947,75.65,43,1,7.49,ES,1724786616
161,calingasta,-31.3308,-69.4078,65.55,11,5,4.72,AR,1724786617
162,mana,5.6592,-53.7767,82.98,73,100,8.63,GF,1724786618
163,keflavik,64.0049,-22.5624,52.23,82,100,8.05,IS,1724786619
164,choyr,46.3611,108.3611,62.29,83,0,7.2,MN,1724786620
165,novaya igirma,57.1334,103.9112,52.47,91,39,6.42,RU,1724786621
166,wailua homesteads,22.0669,-159.378,81.39,76,75,12.66,US,1724786622
167,conde,-7.2597,-34.9075,81.86,61,75,12.66,BR,1724786391
168,gadzhiyevo,69.2551,33.3362,54.86,60,81,27.16,RU,1724786625
169,selfoss,63.9331,-20.9971,57.04,72,100,5.59,IS,1724786626
170,isiro,2.7739,27.616,68.49,97,37,3.09,CD,1724786627
171,khor,47.8861,134.9464,57.24,94,0,3.11,RU,1724786628
172,vilyuchinsk,52.9306,158.4028,52.07,90,100,3.13,RU,1724786629
173,zheleznogorsk,52.331,35.3711,73.02,41,100,6.85,RU,1724786630
174,manzanillo,20.3433,-77.1167,91.96,51,36,8.14,CU,1724786631
175,malabar,-33.9667,151.25,67.12,42,100,12.66,AU,1724786633
176,san clemente,33.427,-117.612,83.79,75,0,5.01,US,1724786618
177,georgetown,5.4112,100.3354,76.95,93,40,5.75,MY,1724786635
178,suances,43.4334,-4.0434,71.44,91,0,10.36,ES,1724786636
179,buala,-8.145,159.5921,77.52,85,97,4.79,SB,1724786637
180,acapulco de juarez,16.8634,-99.8901,89.42,66,100,4.61,MX,1724786638
181,hasaki,35.7333,140.8333,80.1,84,0,13.91,JP,1724786639
182,las terrenas,19.311,-69.5428,91.27,66,20,6.91,DO,1724786641
183,zaozersk,69.4005,32.4476,52.9,63,62,30.69,RU,1724786642
184,cochrane,51.1834,-114.4687,76.86,23,100,16.62,CA,1724786643
185,stephenville,32.2207,-98.2023,92.25,48,75,3.44,US,1724786425
186,mariental,-24.6333,17.9667,66.63,10,0,14.25,NA,1724786645
187,uturoa,-16.7333,-151.4333,76.24,74,81,18.92,PF,1724786646
188,plainview,40.7765,-73.4673,84.27,63,0,12.66,US,1724786629
189,nantucket,41.2835,-70.0995,72.14,88,20,5.75,US,1724786648
190,atafu village,-8.5421,-172.5159,81.32,77,91,10.4,TK,1724786650
191,fuglafjordur,62.244,-6.814,52.81,88,100,24.11,FO,1724786651
192,yuzhno-kurilsk,44.0306,145.8556,65.3,97,100,8.55,RU,1724786652
193,weno,7.4515,151.8468,83.57,77,92,9.22,FM,1724786653
194,avarua,-21.2078,-159.775,73.45,94,100,19.57,CK,1724786655
195,kuching,1.55,110.3333,75.42,97,40,2.3,MY,1724786656
196,kavaratti,10.5669,72.642,81.36,84,100,11.48,IN,1724786657
197,santiago de cao,-7.9589,-79.2392,64.53,88,20,12.66,PE,1724786659
198,north manchester,41.0006,-85.7686,94.3,66,37,13.31,US,1724786660
199,mount pearl,47.5166,-52.7813,67.44,74,100,3.44,CA,1724786194
200,floro,61.5996,5.0328,58.96,88,75,32.21,NO,1724786663
201,koryazhma,61.3143,47.1691,58.96,61,60,4.16,RU,1724786664
202,san mariano,7.5,126.0,72.64,94,100,2.82,PH,1724786665
203,kiruna,67.8557,20.2251,47.32,71,0,17.27,SE,1724786668
204,puerto baquerizo moreno,-0.9,-89.6,72.59,73,75,16.11,EC,1724786669
205,tchibanga,-2.85,11.0333,74.82,69,20,5.99,GA,1724786670
206,woolgoolga,-30.1106,153.2007,60.67,70,0,9.15,AU,1724786671
207,urengoy,65.9667,78.3667,57.09,88,100,3.09,RU,1724786673
208,marvejols,44.5538,3.2914,66.78,68,1,1.68,FR,1724786674
209,belmonte,-15.8631,-38.8828,77.9,65,79,6.93,BR,1724786676
210,codrington,-38.2667,141.9667,50.76,77,78,27.87,AU,1724786677
211,horta,38.5333,-28.6333,76.64,71,20,11.5,PT,1724786678
212,kazimierza wielka,50.2656,20.4936,72.86,56,8,8.86,PL,1724786679
213,leua,48.2156,18.6071,69.58,84,58,7.83,SK,1724786680
214,polyarnyy,69.1989,33.4478,54.46,61,73,25.7,RU,1724786681
215,ancud,-41.8697,-73.8203,48.29,65,100,4.14,CL,1724786682
216,high river,50.5834,-113.8687,76.32,23,100,27.11,CA,1724786683
217,port macquarie,-31.4333,152.9167,57.07,99,0,3.0,AU,1724786685
218,merritt,50.1123,-120.7942,55.15,71,75,7.81,CA,1724786686
219,qaqortoq,60.7167,-46.0333,42.46,78,100,4.47,GL,1724786687
220,nova sintra,14.8667,-24.7167,81.61,74,100,6.33,CV,1724786688
221,kodiak,57.79,-152.4072,56.71,72,75,14.97,US,1724786689
222,whakatane,-37.9585,176.9854,56.52,98,98,3.0,NZ,1724786690
223,enriquillo,17.9,-71.2333,86.77,63,14,9.71,DO,1724786691
224,xining,36.6167,101.7667,62.1,83,53,3.44,CN,1724786692
225,pavlovsk,50.4578,40.1081,73.27,38,5,8.16,RU,1724786693
226,saipan,15.1355,145.701,83.1,89,0,4.61,MP,1724786695
227,darhan,49.4867,105.9228,56.59,89,100,2.86,MN,1724786696
228,sao vicente,-23.9631,-46.3919,64.36,26,0,8.05,BR,1724786697
229,san antonio de pale,-1.4014,5.6325,74.46,81,80,12.75,GQ,1724786698
230,conceicao do araguaia,-8.2578,-49.2647,104.99,12,7,5.32,BR,1724786699
231,kapa'a,22.0752,-159.319,82.72,73,75,12.66,US,1724786700
232,nueva palestina,15.8,-92.75,81.12,72,88,2.62,MX,1724786474
233,kotlas,61.2611,46.6556,59.76,59,43,4.38,RU,1724786702
234,tiquipaya,-17.3382,-66.2189,84.92,10,20,6.91,BO,1724786704
235,marsh harbour,26.5412,-77.0636,84.43,73,0,12.73,BS,1724786705
236,manta,-0.95,-80.7333,80.38,65,75,9.22,EC,1724786706
237,ataq,14.5377,46.8319,82.65,52,100,10.04,YE,1724786707
238,termas de rio hondo,-27.4998,-64.8604,72.91,27,0,8.25,AR,1724786492
239,east grand forks,47.93,-97.0245,67.98,73,75,11.5,US,1724786709
240,porto novo,6.4965,2.6036,76.82,89,100,9.75,BJ,1724786710
241,dourados,-22.2211,-54.8056,77.02,24,0,5.61,BR,1724786713
242,leibnitz,46.7816,15.5384,71.96,76,11,1.88,AT,1724786714
243,pacific grove,36.6177,-121.9166,78.48,78,0,6.91,US,1724786715
244,cadale,2.7603,46.3222,78.85,83,100,13.02,SO,1724786716
245,callao,-12.0667,-77.15,61.09,82,100,9.22,PE,1724786717
246,constantia,44.1833,28.65,74.08,59,70,1.81,RO,1724786470
247,slave lake,55.2834,-114.769,64.38,77,100,5.75,CA,1724786719
248,sweetwater,25.7634,-80.3731,92.01,69,75,17.27,US,1724786425
249,sao felix do xingu,-6.6447,-51.995,103.32,15,44,5.5,BR,1724786721
250,agadez,19.75,10.25,97.48,29,100,7.31,NE,1724786723
251,fort bragg,35.139,-79.006,93.04,40,0,3.44,US,1724786724
252,ciudad melchor muzquiz,27.8833,-101.5167,90.01,44,10,8.23,MX,1724786725
253,wulingyuan,29.3494,110.5441,69.08,85,100,1.5,CN,1724786726
254,smithers,54.7804,-127.1743,55.72,58,40,12.66,CA,1724786727
255,carnarvon,-24.8667,113.6333,65.25,77,0,12.91,AU,1724786728
256,campo gallo,-26.5833,-62.85,73.74,21,0,7.29,AR,1724786729
257,port shepstone,-30.7414,30.455,72.59,43,0,8.48,ZA,1724786731
258,rikaze,29.25,88.8833,56.95,51,98,4.41,CN,1724786732
259,puerto aysen,-45.4,-72.7,43.45,95,100,2.8,CL,1724786733
260,wenatchee,47.4235,-120.3103,68.29,33,0,25.32,US,1724786735
261,registro,-24.4875,-47.8436,65.16,56,13,6.85,BR,1724786672
262,sofifi,0.7349,127.576,78.19,84,7,0.92,ID,1724786737
263,troitsko-pechorsk,62.7084,56.1964,58.75,76,79,2.01,RU,1724786738
264,rongelap,11.1635,166.8941,83.44,81,100,19.42,MH,1724786739
265,yaren,-0.5472,166.916,82.71,76,100,16.33,NR,1724786741
266,lompoc,34.6391,-120.4579,71.53,66,0,8.05,US,1724786682
267,mugumu,-1.85,34.7,70.29,58,100,3.65,TZ,1724786743
268,horasan,40.0458,42.1728,63.66,63,49,5.82,TR,1724786744
269,shingu,33.7333,135.9833,76.44,93,70,3.67,JP,1724786745
270,cape coast,5.1053,-1.2466,74.62,94,100,11.1,GH,1724786746
271,kill devil hills,36.0307,-75.676,86.02,67,75,5.75,US,1724786666
272,camocim,-2.9022,-40.8411,84.0,66,16,20.76,BR,1724786749
273,boyolangu,-8.1181,111.8935,70.63,99,89,2.77,ID,1724786750
274,sisimiut,66.9395,-53.6735,46.17,76,96,6.13,GL,1724786751
275,adrar,20.5022,-10.0711,107.31,15,99,8.9,MR,1724786752
276,igarka,67.4667,86.5833,54.14,96,98,4.94,RU,1724786753
277,port hedland,-20.3167,118.5667,66.25,63,63,8.05,AU,1724786754
278,khovd,48.0056,91.6419,67.6,26,100,5.7,MN,1724786755
279,vila velha,-20.3297,-40.2925,69.75,73,100,11.99,BR,1724786715
280,shiguai,40.7058,110.2856,64.83,49,71,4.36,CN,1724786757
281,george town,5.4112,100.3354,76.95,93,40,5.75,MY,1724786635
282,storozhynets,48.1643,25.7203,73.35,34,89,9.13,UA,1724786760
283,hadibu,12.65,54.0333,79.77,81,91,14.76,YE,1724786761
284,bredy,52.4153,60.3411,56.57,78,0,6.51,RU,1724786762
285,glace bay,46.1969,-59.957,78.17,61,75,8.01,CA,1724786763
286,chulym,55.0997,80.9572,50.02,94,7,4.03,RU,1724786764
287,holualoa,19.6228,-155.9522,77.56,85,40,8.05,US,1724786765
288,carauari,-4.8828,-66.8958,100.69,22,0,2.33,BR,1724786766
289,zhongshu,24.5167,103.7667,62.49,95,0,3.49,CN,1724786768
290,dudinka,69.4058,86.1778,55.45,91,100,1.97,RU,1724786769
291,ephraim,39.3597,-111.5863,82.81,19,0,9.42,US,1724786692
292,buka,40.8108,69.1986,70.43,20,0,8.25,UZ,1724786771
293,kruisfontein,-34.0033,24.7314,51.37,82,99,31.68,ZA,1724786772
294,suva,-18.1416,178.4415,63.88,100,20,2.3,FJ,1724786774
295,swan hill,-35.3378,143.5544,62.01,43,7,20.74,AU,1724786775
296,mata-utu,-13.2816,-176.1745,78.93,80,71,8.1,WF,1724786777
297,qarah zia' od din,38.8915,45.0255,78.84,33,1,2.75,IR,1724786778
298,zhanaozen,43.3,52.8,80.44,26,0,13.78,KZ,1724786779
299,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,100,75,2.24,RU,1724786780
300,ar rutbah,33.0381,40.2848,89.67,19,1,3.85,IQ,1724786781
301,kayes,14.0,-11.0,83.32,76,100,12.62,ML,1724786782
302,matoury,4.8483,-52.3317,91.36,58,100,12.66,GF,1724786783
303,greymouth,-42.4667,171.2,44.47,94,25,4.76,NZ,1724786784
304,siwa oasis,29.2041,25.5195,95.07,24,0,7.63,EG,1724786786
305,adiake,5.2863,-3.304,73.89,95,100,9.06,CI,1724786787
306,kiama,-34.6833,150.8667,71.26,37,100,1.01,AU,1724786788
307,al jawf,29.5,38.75,90.66,22,6,9.15,SA,1724786789
308,kuanda,56.3161,116.0806,50.86,92,15,2.48,RU,1724786790
309,margate,51.3813,1.3862,68.7,64,18,7.34,GB,1724786331
310,boyalik,41.2634,28.6314,72.46,80,4,7.74,TR,1724786792
311,poltavka,54.3663,71.7632,53.89,85,25,4.59,RU,1724786793
312,katsuura,35.1333,140.3,79.57,87,58,11.92,JP,1724786794
313,west bay,19.3667,-81.4167,85.05,78,75,12.66,KY,1724786688
314,norrtalje,59.758,18.705,62.02,74,17,5.26,SE,1724786797
315,carolina beach,34.0352,-77.8936,89.67,71,6,9.15,US,1724786798
316,beyneu,45.3167,55.2,79.5,35,0,14.99,KZ,1724786799
317,indramayu,-6.3264,108.32,77.61,65,100,9.31,ID,1724786800
318,wewak,-3.5534,143.6268,80.04,85,98,8.68,PG,1724786801
319,north bend,43.4065,-124.2243,72.25,67,6,18.05,US,1724786802
320,den burg,53.0542,4.7972,64.38,88,100,3.44,NL,1724786803
321,papao,-17.75,-149.55,78.48,74,100,17.02,PF,1724786805
322,val-d'or,48.1002,-77.7828,68.09,100,100,11.5,CA,1724786520
323,zavodoukovsk,56.5042,66.5515,56.16,85,5,2.48,RU,1724786807
324,aitape,-3.1374,142.3475,77.32,91,100,5.95,PG,1724786808
325,sao joao da barra,-21.6403,-41.0511,69.89,51,66,11.01,BR,1724786809
326,essaouira,31.5125,-9.77,72.9,73,0,11.5,MA,1724786548
327,haiku-pauwela,20.9219,-156.3051,81.25,73,40,20.71,US,1724786811
328,alofi,-19.0595,-169.9187,73.29,78,40,9.22,NU,1724786812
329,ebon,4.582,168.6964,83.14,77,100,18.05,MH,1724786813
330,esmeralda,21.8525,-78.1169,92.79,49,89,13.02,CU,1724786815
331,ivrindi,39.5839,27.4864,71.19,60,0,6.42,TR,1724786816
332,shakawe,-18.3667,21.85,70.39,19,0,0.27,BW,1724786817
333,east london,-33.0153,27.9116,64.33,69,0,19.77,ZA,1724786818
334,saudarkrokur,65.7461,-19.6394,49.14,77,46,4.14,IS,1724786819
335,ati,13.2154,18.3353,82.69,67,100,6.64,TD,1724786820
336,retreat,38.8245,-85.8533,100.96,24,3,7.85,US,1724786821
337,oranjemund,-28.55,16.4333,57.88,78,78,10.02,NA,1724786822
338,rabo de peixe,37.8,-25.5833,76.51,61,20,12.66,PT,1724786824
339,cockburn town,21.4612,-71.1419,83.68,75,7,13.27,TC,1724786825
340,borogontsy,62.6683,131.1683,42.73,97,100,2.64,RU,1724786826
341,pitea,65.3172,21.4794,53.94,60,86,9.73,SE,1724786827
342,ormara,25.2088,64.6357,81.16,79,79,7.54,PK,1724786828
343,tanjung selor,2.8372,117.3642,74.21,99,100,1.16,ID,1724786829
344,georgiyevka,43.0369,74.7114,64.44,63,40,6.71,KZ,1724786830
345,tot'ma,59.9747,42.7642,60.55,76,54,3.06,RU,1724786831
346,saint-philippe,-21.3585,55.7679,68.83,79,73,19.26,RE,1724786833
347,nadi,-17.8,177.4167,66.2,82,20,2.3,FJ,1724786834
348,port-vila,-17.7338,168.3219,60.4,100,20,1.14,VU,1724786835
349,gubkinskiy,64.434,76.5026,60.39,77,100,6.85,RU,1724786836
350,bosobolo,4.1833,19.9,78.6,69,86,4.12,CD,1724786837
